Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,
Timestamp,Timestamp,Low Noise Accelerometer X,Low Noise Accelerometer X,Low Noise Accelerometer Y,Low Noise Accelerometer Y,Low Noise Accelerometer Z,Low Noise Accelerometer Z,Wide Range Accelerometer X,Wide Range Accelerometer X,Wide Range Accelerometer Y,Wide Range Accelerometer Y,Wide Range Accelerometer Z,Wide Range Accelerometer Z,Gyroscope X,Gyroscope X,Gyroscope Y,Gyroscope Y,Gyroscope Z,Gyroscope Z,Pressure,Pressure,Temperature,Temperature,GSR,GSR,
RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,
no units,mSecs,no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,deg/sec,no units,deg/sec,no units,deg/sec,no units,kPa,no units,Celcius*,no units,kOhms,
11412209,131808.044433594,2064,-5.63855421686747,2515,-0.204819277108434,1384,7.98795180722892,8688,-5.32679337829552,-576,-0.353157572041692,-13264,8.13243408951563,-49,-0.702290076335878,46,0.748091603053435,-34,0.519083969465649,43233,99.7541207037291,27171,27.5436801846316,50938,1950.61510696783,1493933790312,
11418763,132008.056640625,2059,-5.66265060240964,2517,-0.144578313253012,1385,7.97590361445783,8688,-5.32679337829552,-576,-0.353157572041692,-13232,8.11281422440221,-51,-1.3587786259542,89,0.778625954198473,-56,0.854961832061069,43225,99.7309718058455,27171,27.5436801846316,50938,1950.61510696783,1493933790503,
11425317,132208.068847656,2063,-5.67469879518072,2518,-0.192771084337349,1384,7.98795180722892,8736,-5.35622317596567,-576,-0.353157572041692,-13360,8.19129368485592,-66,-0.793893129770992,52,1.00763358778626,-64,0.977099236641221,43233,99.7541207037291,27171,27.5436801846316,50938,1950.61510696783,1493933790686,
11431871,132408.081054688,2056,-5.67469879518072,2518,-0.108433734939759,1386,7.96385542168675,8672,-5.31698344573881,-560,-0.343347639484979,-13344,8.1814837522992,-78,-1.16030534351145,76,1.19083969465649,-38,0.580152671755725,43227,99.7367590258905,27171,27.5436801846316,50938,1950.61510696783,1493933790896,
11438425,132608.093261719,2062,-5.65060240963855,2516,-0.180722891566265,1385,7.97590361445783,8704,-5.33660331085224,-544,-0.333537706928265,-13344,8.1814837522992,-53,-0.885496183206107,58,0.809160305343511,-53,0.809160305343511,43233,99.7541207037291,27171,27.5436801846316,50938,1950.61510696783,1493933791110,
11444979,132808.10546875,2059,-5.66265060240964,2517,-0.144578313253012,1382,8.01204819277108,8704,-5.33660331085224,-528,-0.323727774371551,-13296,8.15205395462906,-67,-0.778625954198473,51,1.02290076335878,-54,0.82442748091603,43233,99.7558214292525,27172,27.5495855488664,50937,1952.35092336437,1493933791303,
11451533,133008.117675781,2061,-5.66265060240964,2517,-0.168674698795181,1386,7.96385542168675,8720,-5.34641324340895,-544,-0.333537706928265,-13360,8.19129368485592,-55,-1.17557251908397,77,0.83969465648855,-57,0.870229007633588,43226,99.7355658730121,27172,27.5495855488664,50936,1954.08983185448,1493933791486,
11458087,133208.129882813,2061,-5.67469879518072,2518,-0.168674698795181,1385,7.97590361445783,8720,-5.34641324340895,-496,-0.304107909258124,-13376,8.20110361741263,-32,-0.931297709923664,61,0.488549618320611,-48,0.732824427480916,43226,99.7355658730121,27172,27.5495855488664,50935,1955.83184070767,1493933791695,
11464641,133408.142089844,2058,-5.65060240963855,2516,-0.132530120481928,1385,7.97590361445783,8736,-5.35622317596567,-576,-0.353157572041692,-13408,8.22072348252606,-58,-1.09923664122137,72,0.885496183206107,-40,0.610687022900763,43233,99.7558214292525,27172,27.5495855488664,50934,1957.57695822296,1493933791910,
11471195,133608.154296875,2060,-5.65060240963855,2516,-0.156626506024096,1383,8,8656,-5.3071735131821,-560,-0.343347639484979,-13376,8.20110361741263,-43,-0.778625954198473,51,0.656488549618321,-31,0.473282442748092,43226,99.7355658730121,27172,27.5495855488664,50933,1959.32519272902,1493933792094,
